section,wbs,line_item,layer_or_category,build_status,unit,quantity,rate_basis,low,expected,high,flag,notes
INFRA_OPEX_MONTHLY,2.0,LLM reasoning (Grok pluggable),Optimization & AI,partial,usd_per_month,1,vendor,50,200,800,,
INFRA_OPEX_MONTHLY,3.0,BlueQubit gate cloud,Quantum Compute,partial,usd_per_month,1,vendor,200,600,2500,vendor-confirmation-required,
INFRA_OPEX_MONTHLY,3.0,D-Wave Leap annealing (optional),Quantum Compute,to_build,usd_per_month,1,vendor,0,0,2000,vendor-confirmation-required,optional
INFRA_OPEX_MONTHLY,3.0,IBM Quantum (optional eval),Quantum Compute,to_build,usd_per_month,1,vendor,0,0,1500,vendor-confirmation-required,optional
INFRA_OPEX_MONTHLY,4.0,Oracle node service,Oracle & Verification,partial,usd_per_month,1,estimate,24,60,200,,
INFRA_OPEX_MONTHLY,5.0,Lighthouse IPFS/Filecoin,Proof,partial,usd_per_month,1,vendor,50,150,400,,
INFRA_OPEX_MONTHLY,5.0,zK prover (RISC Zero/SP1 service),Proof,to_build,usd_per_month,1,vendor,100,500,2000,vendor-confirmation-required,
INFRA_OPEX_MONTHLY,6.0,Sealer/validator node,Ledger & Consensus,to_build,usd_per_month,1,estimate,48,120,400,,
INFRA_OPEX_MONTHLY,7.0,Working index (Postgres),Storage & Data,to_build,usd_per_month,1,estimate,50,120,400,,
INFRA_OPEX_MONTHLY,7.0,Object store,Storage & Data,partial,usd_per_month,1,estimate,20,80,300,,
INFRA_OPEX_MONTHLY,7.0,Data availability (Celestia/EigenDA),Storage & Data,to_build,usd_per_month,1,vendor,0,0,600,vendor-confirmation-required,optional
INFRA_OPEX_MONTHLY,9.0,Cloud VMs (DigitalOcean prod),Hardware,operational,usd_per_month,1,vendor,48,150,600,,
INFRA_OPEX_MONTHLY,9.0,Cloud GPU (on-demand alt to CapEx),Hardware,to_build,usd_per_month,1,vendor,300,900,2500,vendor-confirmation-required,alt-to-gpu-capex
INFRA_OPEX_MONTHLY,10.0,On-chain anchor (Base L2 batched),On-chain,to_build,usd_per_month,1,estimate,10,30,150,,
INFRA_OPEX_MONTHLY,10.0,Monitoring/logging/backups/TLS,On-chain,partial,usd_per_month,1,estimate,50,120,400,,
INFRA_OPEX_MONTHLY,,Infra OpEx rollup (monthly),,,usd_per_month,1,sum,950,3030,14750,,reconciles-to-class5
LICENSES_ANNUAL,,SolidWorks,Licenses,,usd_per_year,1,vendor,4000,4000,4000,,
LICENSES_ANNUAL,,Misc dev tools,Licenses,,usd_per_year,1,estimate,1500,1500,1500,,
LICENSES_ANNUAL,,Licenses total,Licenses,,usd_per_year,1,sum,5500,5500,5500,,
